datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-08T04:00:00-05:00,626.8,627.03,626.76,626.81,1437.0,626.3,627.03,626.3,626.77,626.81,627.25,626.78,626.8
2025-12-08T04:01:00-05:00,626.8,626.8,626.72,626.8,1493.0,626.77,626.81,626.68,626.81,626.8,626.85,626.74,626.82
2025-12-08T04:02:00-05:00,626.81,626.87,626.79,626.87,1451.0,626.81,626.86,626.75,626.84,626.82,626.91,626.8,626.87
2025-12-08T04:03:00-05:00,626.84,626.85,626.84,626.85,173.0,626.84,626.88,626.8,626.8,626.87,626.91,626.84,626.85
2025-12-08T04:04:00-05:00,626.8,626.91,626.8,626.8,710.0,626.8,626.92,626.75,626.8,626.85,626.94,626.8,626.83
2025-12-08T04:05:00-05:00,626.85,627.04,626.85,627.02,1217.0,626.8,627.02,626.8,627.0,626.83,627.05,626.83,627.04
2025-12-08T04:06:00-05:00,627.07,627.07,627.0,627.0,425.0,627.0,627.04,626.89,626.97,627.04,627.1,626.93,627.0
2025-12-08T04:07:00-05:00,626.97,627.08,626.97,627.05,1538.0,626.97,627.05,626.95,627.02,627.0,627.08,626.99,627.05
2025-12-08T04:08:00-05:00,627.01,627.11,627.01,627.11,3017.0,627.02,627.07,627.0,627.07,627.05,627.12,627.03,627.12
2025-12-08T04:09:00-05:00,627.06,627.12,627.04,627.06,871.0,627.07,627.08,627.0,627.05,627.12,627.13,627.04,627.08
2025-12-08T04:10:00-05:00,627.07,627.07,627.03,627.04,2245.0,627.05,627.1,626.99,627.04,627.08,627.14,627.03,627.06
2025-12-08T04:11:00-05:00,627.02,627.05,626.99,627.05,330.0,627.04,627.06,626.96,627.03,627.06,627.09,626.99,627.07
2025-12-08T04:12:00-05:00,627.06,627.07,627.03,627.07,539.0,627.03,627.06,626.99,627.06,627.07,627.09,627.03,627.09
2025-12-08T04:13:00-05:00,627.09,627.09,627.09,627.09,80.0,627.06,627.16,627.03,627.12,627.09,627.19,627.07,627.15
2025-12-08T04:14:00-05:00,627.11,627.15,627.11,627.15,486.0,627.12,627.14,627.07,627.14,627.15,627.17,627.12,627.16
2025-12-08T04:15:00-05:00,627.1,627.1,627.03,627.05,590.0,627.14,627.14,627.02,627.04,627.16,627.16,627.05,627.08
2025-12-08T04:16:00-05:00,627.09,627.09,626.98,626.98,618.0,627.04,627.1,626.93,626.95,627.08,627.14,626.98,626.98
2025-12-08T04:17:00-05:00,626.9,627.02,626.87,627.02,3206.0,626.95,626.98,626.84,626.98,626.98,627.03,626.89,627.02
2025-12-08T04:18:00-05:00,626.99,627.03,626.99,627.01,400.0,626.98,627.01,626.97,626.98,627.02,627.05,627.0,627.03
